SampleID,ReadsID,Base,MeanQualityScore,,Mean,Count,StdDev,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R1,210-214,33.44222955,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R1,215-219,33.98262994,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R1,220-224,33.19624617,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R1,225-229,33.66490781,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R1,230-234,33.22943129,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R1,235-239,33.36316735,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R1,240-244,32.91142659,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R1,245-249,32.80272744,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R1,250,32.06075229,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,100-104,35.25676886,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,105-109,35.2256359,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,110-114,35.00894684,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,115-119,35.07832772,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,120-124,35.10086646,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,125-129,34.88813708,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,130-134,34.82945174,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,135-139,34.89933446,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,140-144,35.02949142,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,145-149,34.90367152,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,150-154,34.84156266,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,155-159,34.77137136,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,160-164,34.51885356,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,165-169,34.50363792,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,170-174,34.51166202,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,175-179,34.39711279,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,180-184,34.34009658,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,185-189,33.81031062,,,,,,,,,,,,,,,,,,,,,,
1n1b,SLF_1n_comb1_R2,190-194,33.90037953,,,,,,,,,,,,,,,,,,,,,,
